Plant_ID,Species,Treatment,Site,Soil_Type,Sampling_Date,Light_Hours,Water_ml_per_day,Soil_pH,Leaf_Length_cm,Leaf_Width_cm,Plant_Height_cm,Chlorophyll_Index,Flower_Count,Biomass_g,Health_Status
P001,Arabidopsis thaliana,Control,Greenhouse B,Loam,2026-06-26,12.9,256.8,6.18,3.8,1.5,21.9,33.8,8,7.3,Healthy
P002,Phaseolus vulgaris,Low Nitrogen,Greenhouse B,Clay Loam,2026-06-14,10.0,202.7,7.49,7.2,5.4,43.8,37.7,6,33.7,Moderate
P003,Arabidopsis thaliana,Low Nitrogen,Greenhouse B,Sandy Loam,2026-06-25,8.8,213.9,6.53,3.4,1.5,19.8,32.0,11,6.8,Moderate
P004,Arabidopsis thaliana,Control,Greenhouse A,Sandy Loam,2026-07-05,13.4,219.3,6.52,4.6,2.0,26.6,36.4,12,8.2,Healthy
P005,Arabidopsis thaliana,High Nitrogen,Greenhouse A,Clay Loam,2026-06-05,9.6,268.0,5.61,4.3,1.9,24.1,36.4,10,8.6,Healthy
P006,Solanum lycopersicum,Low Nitrogen,Greenhouse A,Loam,2026-06-18,12.2,301.9,6.3,10.2,6.6,66.0,43.3,7,63.0,Moderate
P007,Ocimum basilicum,High Nitrogen,Field Plot 1,Sandy Loam,2026-06-21,8.9,269.5,6.23,7.6,4.4,46.7,43.3,6,33.8,Healthy
P008,Zea mays,High Nitrogen,Greenhouse B,Sandy Loam,2026-07-05,9.1,258.1,6.31,47.0,6.0,114.7,51.1,2,97.0,Healthy
P009,Solanum lycopersicum,Control,Greenhouse B,Loam,2026-06-26,11.6,190.6,6.85,11.5,7.9,75.1,49.1,10,65.9,Healthy
P010,Ocimum basilicum,Low Nitrogen,Greenhouse A,Clay Loam,2026-07-10,13.7,236.3,6.31,6.7,3.6,38.3,,7,24.7,Moderate
P011,Ocimum basilicum,Control,Field Plot 1,Loam,2026-07-25,11.4,274.8,7.29,6.6,3.9,40.8,42.3,7,25.7,Healthy
P012,Ocimum basilicum,Drought,Field Plot 1,Clay Loam,2026-07-14,10.9,137.8,6.97,5.4,2.9,31.1,42.1,4,18.9,Stressed
P013,Arabidopsis thaliana,High Nitrogen,Greenhouse A,Clay Loam,2026-06-17,11.1,271.8,6.38,5.2,2.0,28.1,33.9,12,9.8,Healthy
P014,Phaseolus vulgaris,High Nitrogen,Greenhouse A,Sandy Loam,2026-06-13,10.8,256.8,6.33,9.8,7.0,57.1,43.8,8,49.9,Healthy
P015,Arabidopsis thaliana,Low Nitrogen,Greenhouse B,Loam,2026-06-07,11.5,250.1,6.15,3.0,1.4,18.1,30.6,9,6.5,Moderate
P016,Phaseolus vulgaris,Drought,Greenhouse A,Loam,2026-07-29,11.4,128.3,7.05,6.3,4.3,37.1,43.4,4,34.3,Stressed
P017,Solanum lycopersicum,Low Nitrogen,Field Plot 1,Clay Loam,2026-08-07,9.0,234.8,6.72,8.8,5.0,53.0,40.4,6,43.6,Moderate
P018,Ocimum basilicum,Control,Field Plot 1,Loam,2026-06-06,10.8,266.3,6.46,6.7,3.5,37.1,44.2,6,25.1,Healthy
P019,Phaseolus vulgaris,Control,Field Plot 1,Clay Loam,2026-06-10,10.0,230.0,6.55,8.8,6.2,52.8,44.8,8,43.3,Healthy
P020,Arabidopsis thaliana,Low Nitrogen,Field Plot 1,Loam,2026-08-09,11.4,287.1,6.74,3.4,1.4,18.1,32.2,7,5.9,Moderate
P021,Solanum lycopersicum,High Nitrogen,Field Plot 1,Clay Loam,2026-06-27,10.6,316.0,,13.8,8.6,91.0,44.8,10,85.0,Healthy
P022,Solanum lycopersicum,Control,Field Plot 1,Sandy Loam,2026-06-17,9.4,285.1,6.59,11.8,8.0,78.3,48.9,9,64.4,Healthy
P023,Solanum lycopersicum,Control,Greenhouse B,Clay Loam,2026-06-06,8.6,241.2,7.43,10.5,6.4,68.6,46.3,8,64.1,Healthy
P024,Solanum lycopersicum,Low Nitrogen,Greenhouse A,Sandy Loam,2026-07-01,10.8,288.9,6.93,9.2,5.8,55.1,40.9,6,52.4,Moderate
P025,Ocimum basilicum,Drought,Greenhouse A,Sandy Loam,2026-06-05,10.9,160.3,6.09,5.4,3.0,30.2,40.8,4,21.5,Stressed
P026,Zea mays,Control,Greenhouse B,Sandy Loam,2026-07-06,9.6,300.2,7.35,37.1,4.6,97.7,49.0,2,99.1,Healthy
P027,Solanum lycopersicum,High Nitrogen,Greenhouse B,Clay Loam,2026-07-11,10.3,300.8,6.81,13.7,9.5,89.2,45.7,11,74.6,Healthy
P028,Zea mays,High Nitrogen,Field Plot 1,Loam,2026-06-26,9.0,265.4,6.99,46.8,5.1,111.7,52.6,2,105.1,Healthy
P029,Solanum lycopersicum,Low Nitrogen,Field Plot 1,Sandy Loam,2026-07-19,9.0,223.6,7.28,9.1,5.4,55.6,42.3,6,51.9,Moderate
P030,Ocimum basilicum,High Nitrogen,Greenhouse B,Sandy Loam,2026-06-28,10.5,307.9,6.6,7.3,4.1,43.0,42.8,7,28.4,Healthy
